epoch,average,stdev,sharpe,
49,5.05625e-05,0.00538924,0.00938212,
99,9.49452e-05,0.0053146,0.017865,
149,-3.08271e-05,0.00557867,-0.00552589,
199,-4.68786e-06,0.00545929,-0.000858693,
249,6.7081e-05,0.00544262,0.0123251,
299,7.29616e-05,0.00540643,0.0134953,
349,-1.61933e-07,0.00547149,-2.95958e-05,
399,8.22065e-05,0.00527744,0.015577,
449,0.000253298,0.00546467,0.046352,
499,-0.00015276,0.00519662,-0.029396,
549,-0.000103814,0.0055273,-0.018782,
599,0.000131992,0.00556235,0.0237295,
649,1.59379e-05,0.00552026,0.00288717,
699,4.94706e-05,0.00562328,0.00879746,
749,-0.000182871,0.00543947,-0.0336193,
799,-0.000179696,0.00545539,-0.0329391,
849,0.000142414,0.00552221,0.0257893,
899,2.84835e-05,0.00539496,0.00527965,
949,5.23576e-05,0.00540498,0.00968692,
999,-7.62405e-05,0.0054661,-0.0139479,
