,Buy and Hold,RSPGPE,RSNPGPE
Total Return,0.078050644345,-0.0935729477817,0.0730592145338
Daily Sharpe,0.268506508038,-0.511563786725,0.252767632089
Monthly Sharpe,0.185226080664,-0.217599751947,0.172727231463
Yearly Sharpe,0.233200716217,-0.0486403621032,0.229334855346
Max Drawdown,-0.223541484233,-0.349370458333,-0.225940470737
Avg Drawdown,-0.0175170842881,-0.114315716817,-0.0176298863863
Avg Up Month,0.0286682239501,0.0304297058406,0.0307604825694
Avg Down Month,-0.0258271450996,-0.0263255368931,-0.024877543234
Win Year %,0.4,0.38,0.6
Win 12m %,0.563636363636,0.418181818182,0.561818181818
Reallocation Freq,0.0,0.0827827827828,0.001001001001
Short Freq,0.0,0.19905,0.0009
